Batch_Id,Order_Date,Bean_Type,Freight_Mode,Region,Weight_Kg,Base_Price,Packaging_Type,Discount_Percent,Transport_Days,Handling_Cost,Packaging_Cost,Customs_Fee,Freight_Charge,Warehouse_Location,Export_Country,Import_Country,Total_Revenue,Inventory_Space_Used
BATCH00001,01-01-2020,Arabica,Sea,South America,371.2075182,400,Small Crate,9.723854311,17,138.58,105.8,334.59,157.3,Mombasa,Liberia,USA,85059.73,18.4
BATCH00002,02-01-2020,Liberica,Air,Asia,314.2683843,1547.67,Small Bag,2.585795432,3,237.8,112.63,400.52,79.2,Mombasa,Malaysia,Japan,277379.73,17.6
BATCH00003,03-01-2020,Robusta,Sea,Central America,483.9671664,400,Big Bag,13.08591845,17,101.1,144.83,114.6,132.7,Mumbai,Peru,New Zealand,54202.77,13.85
BATCH00004,04-01-2020,Robusta,Air,South America,291.9826055,665.77,Big Bag,9.196743586,4,263.16,97.06,342.95,101,Ho Chi Minh,Ivory Coast,Belgium,168167.69,26.15
BATCH00005,05-01-2020,Robusta,Sea,Africa,231.4051072,1247.42,Big Bag,2.358058253,25,120.04,149.36,447.79,167.3,Mombasa,Malaysia,Belgium,157412.71,27.49
BATCH00006,06-01-2020,Robusta,Road,Asia,563.4084911,837.96,Small Crate,14.43507086,5,289.56,122.34,428.26,57.4,Tema,Uganda,Qatar,73311.98,18.02
BATCH00007,07-01-2020,Robusta,Sea,Asia,344.8488995,1101.22,Small Crate,7.77548195,10,119.5,131.61,293.39,117.5,Tema,Ivory Coast,Turkey,190123.7,21.88
BATCH00008,08-01-2020,Robusta,Sea,Africa,109.5582588,1248.75,Big Bag,1.093476778,13,206.4,106.14,236.07,134,Tema,Cameroon,Germany,249191.86,12.94
BATCH00009,09-01-2020,Liberica,Sea,Central America,401.7421328,949.22,Small Crate,9.402493566,14,185.55,123.18,492.2,113.2,Hambantota,Philippines,Russia,119371.52,10.82
BATCH00010,10-01-2020,Robusta,Road,Central America,294.8903205,575.43,Small Bag,3.797983605,7,195.11,184.05,236.31,96.2,Mumbai,Philippines,South Africa,97893.91,15.08
